Game ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
200,2010-01-31,Xerez,Mallorca,2,1,0,1,10,14,5,7,14,13,5,2,2,2,0,0
201,2010-02-06,Barcelona,Getafe,2,1,1,0,18,13,8,6,14,14,5,2,4,3,2,0
202,2010-02-06,Real Madrid,Espanol,3,0,2,0,26,13,8,3,15,22,7,4,2,3,0,0
203,2010-02-06,Valencia,Valladolid,2,0,2,0,25,12,10,4,19,10,10,8,1,2,0,0
204,2010-02-07,Almeria,Sp Gijon,3,1,2,1,13,14,3,7,10,21,4,6,0,7,1,2
205,2010-02-07,Ath Bilbao,Xerez,3,2,1,2,17,15,5,5,12,17,11,4,2,5,0,0
206,2010-02-07,Malaga,La Coruna,0,0,0,0,20,8,9,0,17,7,6,4,4,2,0,1
207,2010-02-07,Mallorca,Villarreal,1,0,0,0,11,9,3,2,21,12,3,4,3,5,0,0
208,2010-02-07,Osasuna,Tenerife,1,0,0,0,12,16,5,7,16,13,5,8,2,1,0,0
209,2010-02-07,Santander,Ath Madrid,1,1,1,1,12,9,4,1,20,13,5,8,2,0,0,0
210,2010-02-07,Zaragoza,Sevilla,2,1,2,1,11,12,4,4,24,14,5,6,5,1,1,2
211,2010-02-13,Sp Gijon,Valencia,1,1,1,0,10,17,6,8,18,11,6,6,3,2,0,0
212,2010-02-13,Villarreal,Ath Bilbao,2,1,2,1,13,7,5,2,12,16,6,9,1,2,1,2
213,2010-02-13,Xerez,Real Madrid,0,3,0,0,5,22,1,11,15,16,1,6,2,3,0,0
214,2010-02-14,Ath Madrid,Barcelona,2,1,2,1,13,13,6,7,19,13,5,7,2,5,0,0
215,2010-02-14,Espanol,La Coruna,2,0,1,0,17,5,9,1,15,20,5,2,3,3,0,1
216,2010-02-14,Getafe,Almeria,2,2,0,0,14,12,8,5,17,19,10,6,2,2,0,0
